class,artist,album_as_tagged,album_id,matched_spelling,title_without_prefix,dash_variant,likely_classical,tagged_form_is_real_title
prefix,808 State,808 State: Don Solaris,29036,808 State,Don Solaris,0,0,
prefix,Bark Psychosis,Bark Psychosis: Hex,29303,Bark Psychosis,Hex,0,0,
prefix,Bruce Springsteen,Springsteen: The Ghost of Tom Joad,29493,Springsteen,The Ghost of Tom Joad,0,0,
prefix,Curtis Mayfield,Mayfield: Superfly: The Original Motion Picture Soundtrack,29621,Mayfield,Superfly: The Original Motion Picture Soundtrack,0,0,
prefix,Gil Scott‐Heron,Scott-Heron: Pieces of a Man,29901,Scott-Heron,Pieces of a Man,1,0,
prefix,Grizzly Bear,Grizzly Bear: Shields,29938,Grizzly Bear,Shields,0,0,
prefix,Grizzly Bear,Grizzly Bear: Yellow House,29936,Grizzly Bear,Yellow House,0,0,
prefix,Jon Hopkins,Hopkins: Opalescent,30167,Hopkins,Opalescent,0,0,
prefix,Kirsty MacColl,MacColl: From Croydon to Cuba: An Anthology,30239,MacColl,From Croydon to Cuba: An Anthology,0,0,
prefix,Kristin Hersh,Hersh: Hips and Makers,30254,Hersh,Hips and Makers,0,0,
prefix,Lemon Jelly,Lemon Jelly: Lost Horizons,31842,Lemon Jelly,Lost Horizons,0,0,
prefix,Lou Reed,Reed: New York,30348,Reed,New York,0,0,
prefix,Nick Drake,Drake: Pink Moon,30534,Drake,Pink Moon,0,0,
prefix,Orlando Weeks,Weeks: Hop Up,30584,Weeks,Hop Up,0,0,
prefix,Orlando Weeks,Weeks: The Gritterman,30586,Weeks,The Gritterman,0,0,
prefix,Richard Ashcroft,Ashcroft: Keys to the World,30742,Ashcroft,Keys to the World,0,0,
prefix,Soccer Mommy,Soccer Mommy: color theory,30876,Soccer Mommy,color theory,0,0,
prefix,St. Vincent,Saint Vincent: MASSEDUCTION,30919,Saint Vincent,MASSEDUCTION,0,0,
prefix,St. Vincent,Saint Vincent: Strange Mercy,30921,Saint Vincent,Strange Mercy,0,0,
prefix,Steve Earle,Earle: I Feel Alright,30954,Earle,I Feel Alright,0,0,
prefix,Stevie Wonder,Wonder: Original Musiquarium,30956,Wonder,Original Musiquarium,0,0,
prefix,Talking Heads,Talking Heads: 77,31001,Talking Heads,77,0,0,"yes (measured 2026-07-22, resolves at T1)"
prefix,Tori Amos,Amos: Under the Pink,31582,Amos,Under the Pink,0,0,
